,tsne_0,tsne_1,sampledornot
523,4.3559985,50.647892,Not sampled
524,-45.000713,17.346046,sampled
525,3.27897,74.7982,Not sampled
526,-2.5616498,5.7332993,sampled
527,9.636448,50.531464,Not sampled
528,12.108938,70.59909,Not sampled
529,-47.597775,-38.60828,Not sampled
530,-6.27791,69.88858,Not sampled
531,16.654964,87.28639,Not sampled
532,-3.164036,86.880714,Not sampled
533,-44.280796,17.305279,sampled
534,-5.902753,21.19978,Not sampled
535,-8.428632,62.37486,Not sampled
536,-5.5305257,-34.86092,sampled
537,17.758308,60.00861,Not sampled
538,21.156403,-7.583853,sampled
539,40.485542,-12.407618,sampled
540,16.250938,22.900938,Not sampled
541,-45.471657,17.933636,sampled
542,67.88343,-0.19478723,sampled
543,9.099734,21.152266,Not sampled
544,21.898664,-7.2846823,sampled
545,-41.76926,51.68421,Not sampled
546,-5.747948,-35.046852,sampled
547,-47.71127,-2.9174678,Not sampled
548,-44.938347,42.289246,Not sampled
549,40.678905,-12.772532,sampled
550,39.907887,-10.464116,sampled
551,-43.323635,-4.6352043,Not sampled
552,-66.817184,-0.72790116,sampled
553,-11.698923,35.729046,sampled
554,-45.10419,18.27163,sampled
555,3.905768,76.00362,Not sampled
556,-2.109882,6.3129954,sampled
557,21.607914,55.590717,sampled
558,13.518586,70.79365,Not sampled
559,-10.642662,68.58877,Not sampled
560,17.261875,88.65796,Not sampled
561,-3.6055691,88.762184,Not sampled
562,-5.902753,21.19978,Not sampled
563,-8.428632,62.37486,Not sampled
564,-38.16896,69.43348,Not sampled
565,17.758297,60.008743,Not sampled
566,-37.920155,70.821724,Not sampled
567,-36.04298,67.776825,Not sampled
568,16.250938,22.900938,Not sampled
569,-43.576626,16.457546,sampled
570,67.810684,0.2496696,sampled
571,9.099734,21.152266,Not sampled
572,-36.951782,66.23709,Not sampled
573,-31.556122,67.42219,Not sampled
574,-40.411507,67.63802,Not sampled
575,-47.711678,-2.9199383,Not sampled
576,-34.512417,63.677845,Not sampled
577,40.678905,-12.772532,sampled
578,40.89037,-11.871971,sampled
579,-43.315815,-4.637115,Not sampled
580,-66.053406,-0.8128318,sampled
581,-11.699365,35.729507,sampled
582,-34.205334,69.83688,Not sampled
583,3.9057682,76.003624,Not sampled
584,-35.58134,67.06553,Not sampled
585,20.746975,55.75916,sampled
586,13.518587,70.793655,Not sampled
587,-9.845027,67.9672,Not sampled
588,17.261875,88.65796,Not sampled
589,-3.3164217,88.76246,Not sampled
590,6.2703767,69.54275,Not sampled
591,36.88288,-7.198787,sampled
592,7.0676436,51.75806,Not sampled
593,5.4879484,68.73184,Not sampled
594,-42.431694,-39.436996,Not sampled
595,-38.793495,21.341871,sampled
596,5.613137,70.43387,Not sampled
597,-42.342384,-35.587944,Not sampled
598,11.3910885,70.636314,Not sampled
599,-2.601306,5.7690787,sampled
600,5.911639,69.4375,Not sampled
601,-8.428527,62.37412,Not sampled
602,-38.169388,69.43452,Not sampled
603,17.758297,60.008743,Not sampled
604,-37.920155,70.821724,Not sampled
605,-36.04298,67.776825,Not sampled
606,16.250938,22.900938,Not sampled
607,-45.109596,16.328384,sampled
608,67.20594,-0.5685307,sampled
609,9.099727,21.152208,Not sampled
610,-36.951782,66.23709,Not sampled
611,-30.819687,65.50825,Not sampled
612,-40.411507,67.63802,Not sampled
613,-47.711678,-2.9199383,Not sampled
614,-34.51221,63.680206,Not sampled
615,39.533413,-11.209713,sampled
616,39.53341,-11.209699,sampled
617,-43.31852,-4.6396794,Not sampled
618,-66.67099,-1.2379146,sampled
619,-11.696658,35.73131,sampled
620,-34.20532,69.83687,Not sampled
621,3.9057894,76.003654,Not sampled
622,-35.58158,67.06584,Not sampled
623,20.829058,56.44588,sampled
624,13.510894,70.82284,Not sampled
625,-10.551842,67.94948,Not sampled
626,17.261875,88.65796,Not sampled
627,-3.6055691,88.762184,Not sampled
628,-38.169388,69.43452,Not sampled
629,17.758308,60.008972,Not sampled
630,-37.920155,70.821724,Not sampled
631,-36.04266,67.77603,Not sampled
632,16.251036,22.900269,Not sampled
633,-2.1484003,6.3031816,sampled
634,67.20594,-0.5685307,sampled
635,9.099723,21.152256,Not sampled
636,-36.951782,66.23709,Not sampled
637,-31.556023,67.422806,Not sampled
638,-40.411037,67.637856,Not sampled
639,-47.71127,-2.9174678,Not sampled
640,-34.512417,63.68063,Not sampled
641,40.944828,-12.969704,sampled
642,41.313416,-12.729597,sampled
643,-43.320454,-4.63046,Not sampled
644,-65.98041,-1.1003758,sampled
645,-11.696022,35.731327,sampled
646,-34.20532,69.83687,Not sampled
